epoch,lr,lr_g1,step,train_loss
14,7.318856660276651e-05,7.318856660276651e-05,55949,2.969299793243408
14,7.27548758732155e-05,7.27548758732155e-05,55999,2.9571986198425293
14,7.232225470943376e-05,7.232225470943376e-05,56049,3.0270118713378906
14,7.189070311142132e-05,7.189070311142132e-05,56099,2.8222475051879883
14,7.146023563109338e-05,7.146023563109338e-05,56149,2.864633560180664
14,7.103083771653473e-05,7.103083771653473e-05,56199,2.9397153854370117
14,7.06025239196606e-05,7.06025239196606e-05,56249,3.0120151042938232
14,7.017528696451336e-05,7.017528696451336e-05,56299,2.95733380317688
14,6.974914140300825e-05,6.974914140300825e-05,56349,2.83724308013916
14,6.932408723514527e-05,6.932408723514527e-05,56399,3.0444576740264893
14,6.89001171849668e-05,6.89001171849668e-05,56449,2.9194815158843994
14,6.847723852843046e-05,6.847723852843046e-05,56499,2.8174777030944824
14,6.805546581745148e-05,6.805546581745148e-05,56549,2.8733139038085938
14,6.763478450011462e-05,6.763478450011462e-05,56599,2.9036197662353516
14,6.72152018523775e-05,6.72152018523775e-05,56649,2.868673086166382
14,6.679672515019774e-05,6.679672515019774e-05,56699,2.7860844135284424
14,6.637935439357534e-05,6.637935439357534e-05,56749,2.932819366455078
14,6.596308958251029e-05,6.596308958251029e-05,56799,2.879185199737549
14,6.554793799296021e-05,6.554793799296021e-05,56849,2.9010605812072754
14,6.51338996249251e-05,6.51338996249251e-05,56899,2.9978761672973633
14,6.472097447840497e-05,6.472097447840497e-05,56949,3.0453715324401855
14,6.430916982935742e-05,6.430916982935742e-05,56999,2.999171257019043
14,6.389848567778245e-05,6.389848567778245e-05,57049,2.92439341545105
14,6.348892929963768e-05,6.348892929963768e-05,57099,2.9994444847106934
14,6.308049341896549e-05,6.308049341896549e-05,57149,2.993417978286743
14,6.26731853117235e-05,6.26731853117235e-05,57199,2.7410597801208496
14,6.226701225386932e-05,6.226701225386932e-05,57249,2.9395651817321777
14,6.186196696944535e-05,6.186196696944535e-05,57299,2.950338363647461
14,6.14580640103668e-05,6.14580640103668e-05,57349,2.8599400520324707
14,6.105529610067606e-05,6.105529610067606e-05,57399,2.9225122928619385
14,6.065366687835194e-05,6.065366687835194e-05,57449,2.9614434242248535
14,6.025317998137325e-05,6.025317998137325e-05,57499,2.8539321422576904
14,5.985383904771879e-05,5.985383904771879e-05,57549,2.857959747314453
14,5.945564771536738e-05,5.945564771536738e-05,57599,2.81620454788208
14,5.9058605984319e-05,5.9058605984319e-05,57649,2.904820203781128
